scenario,n,op,avg_comp,max_comp,avg_reads,max_reads,avg_writes,max_writes,avg_height,max_height
increasing_insert,10000,insert,9999,19999,20000,39999,4,4,5000,10000
increasing_insert,10000,remove,2525,9919,15053,39788,1,2,4999,9999
random_insert,10000,insert,23,48,10024,20028,4,4,27,31
random_insert,10000,remove,14,30,10032,20048,2,3,27,31
increasing_insert,20000,insert,19999,39999,40000,79999,4,4,10000,20000
increasing_insert,20000,remove,5023,19814,30050,79554,1,2,9999,19999
random_insert,20000,insert,26,52,20027,40031,4,4,29,33
random_insert,20000,remove,16,32,20035,40043,2,3,28,33
increasing_insert,30000,insert,29999,59999,60000,119999,4,4,15000,30000
increasing_insert,30000,remove,7500,29871,45003,119668,1,2,14999,29999
random_insert,30000,insert,29,55,30030,60035,4,4,31,35
random_insert,30000,remove,17,35,30037,60046,2,3,31,35
increasing_insert,40000,insert,39999,79999,80000,159999,4,4,20000,40000
increasing_insert,40000,remove,9973,39946,59949,159860,1,2,19999,39999
random_insert,40000,insert,29,62,40030,80035,4,4,35,40
random_insert,40000,remove,18,39,40040,80060,2,3,36,40
increasing_insert,50000,insert,49999,99999,100000,199999,4,4,25000,50000
increasing_insert,50000,remove,12507,49838,75018,199516,1,2,24999,49999
random_insert,50000,insert,28,56,50029,100037,4,4,32,36
random_insert,50000,remove,17,35,50037,100056,2,3,32,36
increasing_insert,60000,insert,59999,119999,120000,239999,4,4,30000,60000
increasing_insert,60000,remove,14970,59932,89943,239758,1,2,29999,59999
random_insert,60000,insert,28,56,60029,120037,4,4,34,38
random_insert,60000,remove,18,38,60040,120056,2,3,34,38
increasing_insert,70000,insert,69999,139999,140000,279999,4,4,35000,70000
increasing_insert,70000,remove,17465,69912,104910,279345,1,2,34999,69999
random_insert,70000,insert,29,58,70031,140062,4,4,35,40
random_insert,70000,remove,18,36,70039,140078,2,3,35,40
increasing_insert,80000,insert,79999,159999,160000,319999,4,4,40000,80000
increasing_insert,80000,remove,19960,79980,119950,319880,1,2,39999,79999
random_insert,80000,insert,30,60,80033,160066,4,4,36,42
random_insert,80000,remove,19,38,80041,160082,2,3,36,42
increasing_insert,90000,insert,89999,179999,180000,359999,4,4,45000,90000
increasing_insert,90000,remove,22455,89955,134991,359910,1,2,44999,89999
random_insert,90000,insert,30,60,90034,180068,4,4,37,43
random_insert,90000,remove,19,38,90042,180084,2,3,37,43
increasing_insert,100000,insert,99999,199999,200000,399999,4,4,50000,100000
increasing_insert,100000,remove,24950,99990,149900,399900,1,2,49999,99999
random_insert,100000,insert,31,62,100036,200072,4,4,38,44
random_insert,100000,remove,19,38,100044,200088,2,3,38,44
