scenario,n,op,avg_comp,max_comp,avg_reads,max_reads,avg_writes,max_writes,avg_height,max_height
increasing_insert,10000,insert,9999,19999,20000,39999,4,4,5000,10000
increasing_insert,10000,remove,2525,9919,15053,39788,1,2,4999,9999
random_insert,10000,insert,23,48,10024,20028,4,4,27,31
random_insert,10000,remove,14,30,10032,20048,2,3,27,31
increasing_insert,20000,insert,19999,39999,40000,79999,4,4,10000,20000
increasing_insert,20000,remove,5023,19814,30050,79554,1,2,9999,19999
random_insert,20000,insert,26,52,20027,40031,4,4,29,33
random_insert,20000,remove,16,32,20035,40043,2,3,28,33
increasing_insert,30000,insert,29999,59999,60000,119999,4,4,15000,30000
increasing_insert,30000,remove,7500,29871,45003,119668,1,2,14999,29999
random_insert,30000,insert,29,55,30030,60035,4,4,31,35
random_insert,30000,remove,17,35,30037,60046,2,3,31,35
increasing_insert,40000,insert,39999,79999,80000,159999,4,4,20000,40000
increasing_insert,40000,remove,9973,39946,59949,159860,1,2,19999,39999
random_insert,40000,insert,29,62,40030,80035,4,4,35,40
random_insert,40000,remove,18,39,40040,80060,2,3,36,40
increasing_insert,50000,insert,49999,99999,100000,199999,4,4,25000,50000
increasing_insert,50000,remove,12507,49838,75018,199516,1,2,24999,49999
random_insert,50000,insert,28,56,50029,100037,4,4,32,36
random_insert,50000,remove,17,35,50037,100056,2,3,32,36
increasing_insert,60000,insert,59999,119999,120000,239999,4,4,30000,60000
increasing_insert,60000,remove,14970,59932,89943,239758,1,2,29999,59999
random_insert,60000,insert,28,56,60029,120037,4,4,34,38
random_insert,60000,remove,18,38,60040,120056,2,3,34,38
