scenario,n,op,avg_comp,max_comp,avg_reads,max_reads,avg_writes,max_writes,avg_height,max_height
increasing_insert,10000,insert,22,25,10075,20168,11,39,21,24
increasing_insert,10000,remove,11,16,10067,20206,5,28,14,23
random_insert,10000,insert,13,17,10043,20065,6,33,14,16
random_insert,10000,remove,11,16,10065,20091,5,32,14,16
increasing_insert,20000,insert,24,27,20077,40156,11,42,23,26
increasing_insert,20000,remove,12,17,20070,40217,5,31,15,26
random_insert,20000,insert,14,18,20044,40078,6,30,15,18
random_insert,20000,remove,12,18,20068,40096,5,32,16,18
increasing_insert,30000,insert,25,28,30078,60131,11,45,24,27
increasing_insert,30000,remove,12,19,30072,60227,5,31,15,26
random_insert,30000,insert,14,19,30044,60130,6,30,16,18
random_insert,30000,remove,12,18,30069,60089,5,31,16,18
increasing_insert,40000,insert,26,29,40079,80168,11,45,25,28
increasing_insert,40000,remove,13,18,40073,80229,5,33,16,27
random_insert,40000,insert,15,20,40045,80091,6,36,17,19
random_insert,40000,remove,13,19,40070,80092,5,32,17,19
increasing_insert,50000,insert,26,30,50080,100137,11,47,25,29
increasing_insert,50000,remove,13,22,50074,100227,4,32,16,28
random_insert,50000,insert,15,20,50045,100073,6,30,17,19
random_insert,50000,remove,13,19,50071,100092,5,31,17,19
increasing_insert,60000,insert,27,30,60080,120151,11,48,26,29
increasing_insert,60000,remove,13,18,60075,120235,5,33,17,29
random_insert,60000,insert,15,20,60045,120084,6,30,17,19
random_insert,60000,remove,13,19,60072,120092,5,33,17,19
increasing_insert,70000,insert,27,31,70081,140134,11,48,26,30
increasing_insert,70000,remove,13,19,70075,140244,4,32,17,30
random_insert,70000,insert,15,20,70045,140080,6,30,17,20
random_insert,70000,remove,13,19,70073,140115,5,32,18,20
increasing_insert,80000,insert,28,31,80081,160188,11,48,27,30
increasing_insert,80000,remove,14,21,80076,160227,4,32,17,30
random_insert,80000,insert,16,20,80046,160077,6,30,18,20
random_insert,80000,remove,14,20,80074,160119,5,33,18,20
increasing_insert,90000,insert,28,31,90081,180156,11,50,27,30
increasing_insert,90000,remove,14,19,90076,180251,4,31,17,29
random_insert,90000,insert,16,21,90046,180100,6,36,18,20
random_insert,90000,remove,14,20,90074,180099,5,32,18,20
increasing_insert,100000,insert,28,32,100082,200153,11,50,27,31
increasing_insert,100000,remove,14,24,100077,200253,4,33,18,30
random_insert,100000,insert,16,21,100046,200078,6,36,18,20
random_insert,100000,remove,14,20,100075,200103,5,31,18,20
